,SeasonEpisodeCode,Title,Season,EpisodeNum
0,101,The Boy in the Iceberg,1,1
1,102,The Avatar Returns,1,2
2,103,The Southern Air Temple,1,3
3,104,The Warriors of Kyoshi,1,4
4,105,The King of Omashu,1,5
5,106,Imprisoned,1,6
6,107,"The Spirit World (Winter Solstice, Part 1)",1,7
7,108,"Avatar Roku (Winter Solstice, Part 2)",1,8
8,109,The Waterbending Scroll,1,9
9,110,Jet,1,10
10,111,The Great Divide,1,11
11,112,The Storm,1,12
12,113,The Blue Spirit,1,13
13,114,The Fortuneteller,1,14
14,115,Bato of the Water Tribe,1,15
15,116,The Deserter,1,16
16,117,The Northern Air Temple,1,17
17,118,The Waterbending Master,1,18
18,119,"The Siege of the North, Part 1",1,19
19,120,"The Siege of the North, Part 2",1,20
20,201,The Avatar State,2,1
21,202,The Cave of Two Lovers,2,2
22,203,Return To Omashu,2,3
23,204,The Swamp,2,4
24,205,Avatar Day,2,5
25,206,The Blind Bandit,2,6
26,207,Zuko Alone,2,7
27,208,The Chase,2,8
28,209,Bitter Work,2,9
29,210,The Library,2,10
30,211,The Desert,2,11
31,212,The Serpent's Pass,2,12
32,213,The Drill,2,13
33,214,City of Walls and Secrets,2,14
34,215,The Tales of Ba Sing Se,2,15
35,216,Appa's Lost Days,2,16
36,217,Lake Laogai,2,17
37,218,The Earth King,2,18
38,219,The Guru,2,19
39,220,The Crossroads of Destiny,2,20
40,301,The Awakening,3,1
41,302,The Headband,3,2
42,303,The Painted Lady,3,3
43,304,Sokka's Master,3,4
44,305,The Beach,3,5
45,306,The Avatar and The Firelord,3,6
46,307,The Runaway,3,7
47,308,The Puppetmaster,3,8
48,309,Nightmares and Daydreams,3,9
49,310,"The Day of Black Sun, Part 1: The Invasion",3,10
50,311,"The Day of Black Sun, Part 2: The Eclipse",3,11
51,312,The Western Air Temple,3,12
52,313,The Firebending Masters,3,13
53,314,"The Boiling Rock, Part 1",3,14
54,315,"The Boiling Rock, Part 2",3,15
55,316,The Southern Raiders,3,16
56,317,The Ember Island Players,3,17
57,318,"Sozin's Comet, Part 1: The Phoenix King",3,18
58,319,"Sozin's Comet, Part 2: The Old Masters",3,19
59,320,"Sozin's Comet, Part 3: Into the Inferno",3,20
60,321,"Sozin's Comet, Part 4: Avatar Aang",3,21
